RepSeqName	U-ID	TrEMBL	T-KO	KEGG	K-KO	U-ID	SwissProt	S-KO
S_ruber_randomG_0001_1_2	Q2RZ47_SALRD	PASTA domain protein	No_Match	stage V sporulation protein D (sporulation-specific penicillin-binding protein)	K08384	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_3	A0A2H3NSU6_9BACT	Transposase	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_4	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_5	A0A2A8D2H7_9BACT	Uncharacterized protein	No_Match	integrase/recombinase XerD	K04763	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_6	A0A2T2V956_9BACT	Uncharacterized protein	No_Match	integrase	K14059	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_7	A0A2T2V956_9BACT	Uncharacterized protein	No_Match	integrase/recombinase XerD	K04763	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_10	A0A150P1Q8_SORCE	Uncharacterized protein	No_Match	* DNA repair protein SbcD/Mre11	K03547	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_11	No_Match	Hypothetical Gene	No_Match	DNA repair protein SbcC/Rad50	K03546	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_12	A0A3M1ZFI1_9CHLR	HD domain-containing protein	No_Match	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	K01139	RELA_STAAW	GTP pyrophosphokinase;	K00951
S_ruber_randomG_0001_1_17	D5H4E1_SALRM	IS5 family transposase	No_Match	* putative transposase	K07492	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_20	No_Match	Hypothetical Gene	No_Match	two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]	K07778	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_22	No_Match	Hypothetical Gene	No_Match	Hypothetical Gene	No_Match	No_Match	Hypothetical Gene	No_Match
S_ruber_randomG_0001_1_26	A0A2T2SVI8_9BACT	Uncharacterized protein	No_Match	* TolB protein	K03641	No_Match	Hypothetical Gene	No_Match
